case:concept:name,concept:name,time:timestamp,group
A_0001,App Download,2024-01-18 00:00:00,A
A_0001,Account Registration,2024-01-18 00:28:00,A
A_0001,Phone Verification,2024-01-18 00:39:00,A
A_0001,Email Verification,2024-01-18 00:49:00,A
A_0001,ID Upload,2024-01-18 00:57:00,A
A_0001,Dropoff,2024-01-18 12:05:00,A
A_0002,App Download,2024-01-02 00:00:00,A
A_0002,Account Registration,2024-01-02 00:13:00,A
A_0002,Phone Verification,2024-01-02 00:22:00,A
A_0002,Email Verification,2024-01-02 00:29:00,A
A_0002,ID Upload,2024-01-02 00:31:00,A
A_0002,ID Verification,2024-01-02 23:31:00,A
A_0002,Security Setup,2024-01-02 23:47:00,A
A_0002,Dropoff,2024-01-03 00:03:00,A
A_0003,App Download,2024-01-27 00:00:00,A
A_0003,Account Registration,2024-01-27 00:15:00,A
A_0003,Phone Verification,2024-01-27 00:30:00,A
A_0003,Email Verification,2024-01-27 00:39:00,A
A_0003,ID Upload,2024-01-27 00:46:00,A
A_0003,ID Verification,2024-01-27 11:46:00,A
A_0003,Security Setup,2024-01-27 12:16:00,A
A_0003,Tutorial Start,2024-01-27 12:32:00,A
A_0003,Tutorial Complete,2024-01-27 13:05:00,A
A_0003,First Transaction,2024-01-27 13:10:00,A
A_0004,App Download,2024-01-21 00:00:00,A
A_0004,Account Registration,2024-01-21 00:29:00,A
A_0004,Phone Verification,2024-01-21 00:41:00,A
A_0004,Email Verification,2024-01-21 00:49:00,A
A_0004,ID Upload,2024-01-21 00:54:00,A
A_0004,ID Verification,2024-01-21 17:54:00,A
A_0004,Security Setup,2024-01-21 18:04:00,A
A_0004,Tutorial Start,2024-01-21 18:25:00,A
A_0004,Dropoff,2024-01-21 19:02:00,A
A_0005,App Download,2024-01-22 00:00:00,A
A_0005,Account Registration,2024-01-22 00:21:00,A
A_0005,Phone Verification,2024-01-22 00:30:00,A
A_0005,Email Verification,2024-01-22 00:32:00,A
A_0005,ID Upload,2024-01-22 00:35:00,A
A_0005,ID Verification,2024-01-22 21:35:00,A
A_0005,Security Setup,2024-01-22 22:03:00,A
A_0005,Tutorial Start,2024-01-22 22:13:00,A
A_0005,Tutorial Complete,2024-01-22 22:53:00,A
A_0005,First Transaction,2024-01-22 23:08:00,A
A_0006,App Download,2024-01-05 00:00:00,A
A_0006,Account Registration,2024-01-05 00:15:00,A
A_0006,Phone Verification,2024-01-05 00:30:00,A
A_0006,Email Verification,2024-01-05 00:40:00,A
A_0006,ID Upload,2024-01-05 00:44:00,A
A_0006,ID Verification,2024-01-05 17:44:00,A
A_0006,Security Setup,2024-01-05 18:00:00,A
A_0006,Tutorial Start,2024-01-05 18:11:00,A
A_0006,Tutorial Complete,2024-01-05 18:26:00,A
A_0006,First Transaction,2024-01-05 18:38:00,A
A_0007,App Download,2024-01-03 00:00:00,A
A_0007,Account Registration,2024-01-03 00:09:00,A
A_0007,Phone Verification,2024-01-03 00:12:00,A
A_0007,Email Verification,2024-01-03 00:22:00,A
A_0007,ID Upload,2024-01-03 00:27:00,A
A_0007,ID Verification,2024-01-03 20:27:00,A
A_0007,Security Setup,2024-01-03 20:46:00,A
A_0007,Tutorial Start,2024-01-03 21:07:00,A
A_0007,Tutorial Complete,2024-01-03 21:23:00,A
A_0007,First Transaction,2024-01-03 21:36:00,A
A_0008,App Download,2024-01-18 00:00:00,A
A_0008,Account Registration,2024-01-18 00:07:00,A
A_0008,Phone Verification,2024-01-18 00:22:00,A
A_0008,Email Verification,2024-01-18 00:24:00,A
A_0008,ID Upload,2024-01-18 00:28:00,A
A_0008,ID Verification,2024-01-19 00:28:00,A
A_0008,Security Setup,2024-01-19 00:46:00,A
A_0008,Tutorial Start,2024-01-19 00:56:00,A
A_0008,Tutorial Complete,2024-01-19 01:34:00,A
A_0008,First Transaction,2024-01-19 01:40:00,A
A_0009,App Download,2024-01-28 00:00:00,A
A_0009,Account Registration,2024-01-28 00:27:00,A
A_0009,Phone Verification,2024-01-28 00:36:00,A
A_0009,Email Verification,2024-01-28 00:38:00,A
A_0009,ID Upload,2024-01-28 00:42:00,A
